candidate_id,rank,score,reasoning
CAND_0039383,32,0.7212000000000001,"7.1 years experience. Relevant skills: Feature Engineering, NLP, LoRA. Recruiter response rate 0.61 and interview completion rate 0.97."
CAND_0045250,33,0.7209,"6.6 years experience. Relevant skills: Milvus, LoRA, NLP, TensorFlow. Recruiter response rate 0.74 and interview completion rate 0.65."
CAND_0015493,34,0.71655,"6.4 years experience. Relevant skills: TensorFlow, LoRA, NLP, PyTorch. Recruiter response rate 0.30 and interview completion rate 0.61."
CAND_0025663,35,0.71465,"6.4 years experience. Relevant skills: Feature Engineering, Fine-tuning LLMs, NLP. Recruiter response rate 0.65 and interview completion rate 0.58."
CAND_0076163,36,0.71215,6.9 years experience. Relevant skills: PyTorch. Recruiter response rate 0.84 and interview completion rate 0.72.
CAND_0098846,37,0.7091,"7.6 years experience. Relevant skills: TensorFlow, BentoML. Recruiter response rate 0.62 and interview completion rate 0.80."
CAND_0051004,38,0.7081999999999999,"4.7 years experience. Relevant skills: PyTorch, Fine-tuning LLMs, BentoML, LoRA. Recruiter response rate 0.41 and interview completion rate 1.00."
CAND_0044222,39,0.7071,"7.7 years experience. Relevant skills: Feature Engineering, NLP, Fine-tuning LLMs. Recruiter response rate 0.60 and interview completion rate 0.89."
CAND_0042029,40,0.7071,"6.5 years experience. Relevant skills: PyTorch, NLP, Feature Engineering. Recruiter response rate 0.67 and interview completion rate 0.74."
CAND_0026942,41,0.70685,"6.0 years experience. Relevant skills: TensorFlow, BentoML. Recruiter response rate 0.84 and interview completion rate 0.60."
CAND_0028793,42,0.7065,"7.2 years experience. Relevant skills: LoRA, PyTorch, NLP. Recruiter response rate 0.57 and interview completion rate 0.70."
CAND_0077261,43,0.70605,"5.7 years experience. Relevant skills: BentoML, LoRA, TensorFlow. Recruiter response rate 0.81 and interview completion rate 0.51."
CAND_0058517,44,0.70495,"5.1 years experience. Relevant skills: NLP, BentoML, TensorFlow. Recruiter response rate 0.36 and interview completion rate 0.53."
CAND_0077337,45,0.70455,7.0 years experience. Relevant skills: Feature Engineering. Recruiter response rate 0.95 and interview completion rate 0.73.
CAND_0089381,46,0.70375,"6.0 years experience. Relevant skills: PyTorch, Feature Engineering, Milvus. Recruiter response rate 0.81 and interview completion rate 0.81."
CAND_0050454,47,0.70285,"6.8 years experience. Relevant skills: PyTorch, Fine-tuning LLMs, Feature Engineering, LoRA. Recruiter response rate 0.77 and interview completion rate 0.72."
CAND_0073007,48,0.7025,"5.8 years experience. Relevant skills: Milvus, BentoML, PyTorch. Recruiter response rate 0.83 and interview completion rate 0.75."
CAND_0064458,49,0.70155,"3.2 years experience. Relevant skills: BentoML, PyTorch, LoRA. Recruiter response rate 0.67 and interview completion rate 0.83."
CAND_0010257,50,0.7008,"6.5 years experience. Relevant skills: Milvus, TensorFlow, Feature Engineering. Recruiter response rate 0.72 and interview completion rate 0.92."
CAND_0008978,51,0.7002499999999999,"6.7 years experience. Relevant skills: Feature Engineering, NLP, Fine-tuning LLMs, Milvus. Recruiter response rate 0.29 and interview completion rate 0.98."
CAND_0005260,52,0.69965,"5.2 years experience. Relevant skills: NLP, LoRA. Recruiter response rate 0.86 and interview completion rate 0.73."
CAND_0096142,53,0.6989000000000001,"5.0 years experience. Relevant skills: LoRA, BentoML, NLP. Recruiter response rate 0.84 and interview completion rate 0.55."
CAND_0020049,54,0.6985,"3.8 years experience. Relevant skills: Feature Engineering, TensorFlow, NLP, BentoML. Recruiter response rate 0.78 and interview completion rate 0.78."
CAND_0005311,55,0.69785,"5.7 years experience. Relevant skills: LoRA, Feature Engineering, BentoML, Fine-tuning LLMs. Recruiter response rate 0.29 and interview completion rate 0.52."
CAND_0081852,56,0.6978,"5.9 years experience. Relevant skills: Milvus, BentoML, LoRA. Recruiter response rate 0.44 and interview completion rate 0.77."
CAND_0017147,57,0.6977,"4.7 years experience. Relevant skills: Feature Engineering, LoRA, PyTorch. Recruiter response rate 0.48 and interview completion rate 0.67."
CAND_0008517,58,0.69755,"5.6 years experience. Relevant skills: Feature Engineering, LoRA, PyTorch. Recruiter response rate 0.80 and interview completion rate 0.74."
CAND_0067183,59,0.6974,"6.1 years experience. Relevant skills: NLP, BentoML, TensorFlow. Recruiter response rate 0.42 and interview completion rate 0.57."
CAND_0005649,60,0.69725,"7.4 years experience. Relevant skills: TensorFlow, Fine-tuning LLMs. Recruiter response rate 0.57 and interview completion rate 0.88."
CAND_0058412,61,0.69715,"6.6 years experience. Relevant skills: Milvus, Fine-tuning LLMs, TensorFlow. Recruiter response rate 0.43 and interview completion rate 0.91."
CAND_0001819,62,0.69675,"4.4 years experience. Relevant skills: PyTorch, BentoML, Feature Engineering, NLP. Recruiter response rate 0.75 and interview completion rate 0.67."
CAND_0013393,63,0.69635,"5.3 years experience. Relevant skills: BentoML, PyTorch, Milvus, TensorFlow. Recruiter response rate 0.33 and interview completion rate 0.99."
CAND_0004972,64,0.6950500000000001,"6.0 years experience. Relevant skills: BentoML, PyTorch, Feature Engineering. Recruiter response rate 0.74 and interview completion rate 0.76."
CAND_0007412,65,0.6949,"7.4 years experience. Relevant skills: Milvus, PyTorch. Recruiter response rate 0.76 and interview completion rate 0.88."
CAND_0095528,66,0.6947,"5.3 years experience. Relevant skills: Feature Engineering, PyTorch, Fine-tuning LLMs. Recruiter response rate 0.55 and interview completion rate 0.83."
CAND_0026716,67,0.6944,"5.6 years experience. Relevant skills: TensorFlow, Fine-tuning LLMs. Recruiter response rate 0.82 and interview completion rate 0.53."
CAND_0026806,68,0.69435,6.6 years experience. Relevant skills: BentoML. Recruiter response rate 0.70 and interview completion rate 0.75.
CAND_0049896,69,0.6941,"7.3 years experience. Relevant skills: PyTorch, Fine-tuning LLMs, NLP. Recruiter response rate 0.43 and interview completion rate 0.68."
CAND_0027691,70,0.6934,"6.5 years experience. Relevant skills: LoRA, TensorFlow. Recruiter response rate 0.68 and interview completion rate 0.63."
CAND_0002344,71,0.6921499999999999,"4.7 years experience. Relevant skills: NLP, TensorFlow, Feature Engineering. Recruiter response rate 0.83 and interview completion rate 0.87."
CAND_0094686,72,0.6919,"6.7 years experience. Relevant skills: BentoML, Fine-tuning LLMs. Recruiter response rate 0.75 and interview completion rate 0.54."
CAND_0001980,73,0.6918,8.7 years experience. Relevant skills: Fine-tuning LLMs. Recruiter response rate 0.74 and interview completion rate 0.72.
CAND_0008239,74,0.6915,"4.0 years experience. Relevant skills: Milvus, Feature Engineering, BentoML, PyTorch. Recruiter response rate 0.73 and interview completion rate 0.55."
CAND_0009691,75,0.69145,"6.2 years experience. Relevant skills: BentoML, Fine-tuning LLMs, LoRA. Recruiter response rate 0.64 and interview completion rate 0.57."
CAND_0072547,76,0.69075,5.1 years experience. Relevant skills: NLP. Recruiter response rate 0.81 and interview completion rate 0.99.
CAND_0091254,77,0.68995,"5.2 years experience. Relevant skills: BentoML, NLP, Feature Engineering, PyTorch. Recruiter response rate 0.53 and interview completion rate 0.71."
CAND_0003311,78,0.68985,"5.6 years experience. Relevant skills: Milvus, Feature Engineering, Fine-tuning LLMs. Recruiter response rate 0.35 and interview completion rate 0.78."
CAND_0038206,79,0.6880499999999999,"3.5 years experience. Relevant skills: PyTorch, NLP, Fine-tuning LLMs. Recruiter response rate 0.81 and interview completion rate 1.00."
CAND_0020708,80,0.68785,"4.2 years experience. Relevant skills: NLP, Fine-tuning LLMs, Milvus, TensorFlow. Recruiter response rate 0.84 and interview completion rate 0.88."
CAND_0021491,81,0.6877,"6.1 years experience. Relevant skills: LoRA, PyTorch. Recruiter response rate 0.61 and interview completion rate 0.81."
CAND_0012918,82,0.6870999999999999,8.5 years experience. Relevant skills: Fine-tuning LLMs. Recruiter response rate 0.74 and interview completion rate 0.61.
CAND_0015528,83,0.6868,"7.4 years experience. Relevant skills: BentoML, TensorFlow, Feature Engineering, LoRA. Recruiter response rate 0.53 and interview completion rate 0.72."
CAND_0086502,84,0.6859,7.3 years experience. Relevant skills: Feature Engineering. Recruiter response rate 0.67 and interview completion rate 0.83.
CAND_0027801,85,0.68565,"7.4 years experience. Relevant skills: Milvus, TensorFlow. Recruiter response rate 0.65 and interview completion rate 0.68."
CAND_0066791,86,0.6855,"5.6 years experience. Relevant skills: LoRA, PyTorch, BentoML. Recruiter response rate 0.42 and interview completion rate 0.80."
CAND_0010408,87,0.68535,"5.7 years experience. Relevant skills: TensorFlow, Milvus. Recruiter response rate 0.36 and interview completion rate 0.79."
CAND_0093763,88,0.68525,"5.0 years experience. Relevant skills: PyTorch, TensorFlow. Recruiter response rate 0.92 and interview completion rate 0.91."
CAND_0016359,89,0.68525,"6.4 years experience. Relevant skills: NLP, PyTorch, Feature Engineering. Recruiter response rate 0.52 and interview completion rate 0.95."
CAND_0052682,90,0.68315,"6.6 years experience. Relevant skills: PyTorch, Fine-tuning LLMs. Recruiter response rate 0.88 and interview completion rate 0.88."
CAND_0075318,91,0.68235,9.0 years experience. Relevant skills: Fine-tuning LLMs. Recruiter response rate 0.61 and interview completion rate 0.78.
CAND_0026316,92,0.6818000000000001,5.3 years experience. Relevant skills: Fine-tuning LLMs. Recruiter response rate 0.63 and interview completion rate 0.77.
CAND_0072688,93,0.68135,"6.9 years experience. Relevant skills: Milvus, LoRA, NLP. Recruiter response rate 0.87 and interview completion rate 0.85."
CAND_0046525,94,0.68125,"6.1 years experience. Relevant skills: TensorFlow, NLP. Recruiter response rate 0.88 and interview completion rate 0.81."
CAND_0050876,95,0.6802,6.0 years experience. Relevant skills: PyTorch. Recruiter response rate 0.67 and interview completion rate 0.97.
CAND_0011162,96,0.67995,"5.8 years experience. Relevant skills: LoRA, Milvus. Recruiter response rate 0.75 and interview completion rate 0.66."
CAND_0078669,97,0.67905,"6.3 years experience. Relevant skills: Feature Engineering, BentoML, PyTorch. Recruiter response rate 0.49 and interview completion rate 0.71."
CAND_0091552,98,0.67865,"7.8 years experience. Relevant skills: BentoML, PyTorch, Fine-tuning LLMs. Recruiter response rate 0.72 and interview completion rate 0.87."
CAND_0083790,99,0.6785,"3.5 years experience. Relevant skills: LoRA, NLP, BentoML, Milvus. Recruiter response rate 0.83 and interview completion rate 0.70."
CAND_0076319,100,0.6784,"8.5 years experience. Relevant skills: BentoML, Fine-tuning LLMs. Recruiter response rate 0.23 and interview completion rate 0.62."
